,Time,sailActive,sailPosX,sailPosY,sailPosZ,earthPosX,earthPosY,earthPosZ,distanceToNEO
135,675.0,1,-0.27462332494287994,1.1623758215512172,-0.04492671730447597,-0.5581755779398373,-0.8438186144907501,2.2052908066680235e-05,0.8075824733682287
136,680.0,1,-0.33703184700568056,1.133583998719133,-0.04674088194899995,-0.4859085271007319,-0.8884991887035176,2.5955669846429275e-05,0.8302380228269869
137,685.0,1,-0.39793609953129344,1.0997326720952445,-0.048346428811885715,-0.41018110805600455,-0.9268529408739432,2.9673614970645187e-05,0.8495738068737455
138,690.0,1,-0.4570042494533333,1.0608071133808483,-0.04972890226387304,-0.33154011220226376,-0.9586237259542271,3.318081063582036e-05,0.8654500003916593
139,695.0,1,-0.5138840691814784,1.0168019642497967,-0.05087325270816247,-0.25054950959486666,-0.9836014544066238,3.6452884570560825e-05,0.8777511201667537
140,700.0,1,-0.5682000716782805,0.9677238954042531,-0.051763791626437565,-0.16778678457467538,-1.0016229694748218,3.9467161978671754e-05,0.8863833841021311
141,705.0,1,-0.6195504590934541,0.9135949738708186,-0.05238415903761595,-0.08383927206006708,-1.0125726716322212,4.220279136472793e-05,0.8912733757663146
142,710.0,1,-0.6675039153281519,0.8544569081563317,-0.052717309514951384,0.0006994951814107009,-1.016382899627349,4.464085937864997e-05,0.8923681912579458
143,715.0,1,-0.7115963063043196,0.7903763811818809,-0.05274552547467598,0.08523341989849877,-1.0130340765307977,4.6764494823081315e-05,0.8896373591689241
144,720.0,1,-0.7513274026443185,0.7214517275205875,-0.052450469938967494,0.16916744732659555,-1.0025546278979218,4.855896194700921e-05,0.8830769821640021
145,725.0,1,-0.7861578157301534,0.6478212627977876,-0.05181329567246718,0.2519111398754178,-0.9850206777402798,5.001174311742144e-05,0.8727167675800331
146,730.0,1,-0.8155064503599728,0.5696736248320833,-0.05081483382090242,0.33288221428387355,-0.9605555264520201,5.111261091000629e-05,0.8586309154678027
147,735.0,1,-0.83874893940512,0.4872605288933618,-0.049435893265886426,0.41151003626081395,-0.9293289132595876,5.185368959785177e-05,0.8409542370604163
148,740.0,1,-0.8552177550973497,0.4009123554992367,-0.04765771206400164,0.4872390674948073,-0.8915560642068175,5.2229505945133246e-05,0.8199053943904927
149,745.0,1,-0.8642050063536176,0.3110569467266007,-0.04546261443407981,0.5595322593904618,-0.8474965252148314,5.2237029134006454e-05,0.7958197466180726
150,750.0,1,-0.8649693465767647,0.2182418329379542,-0.042834939892909894,0.6278743869852669,-0.7974527784299124,5.1875699570427006e-05,0.7691947949917435
151,755.0,1,-0.8567489305794421,0.12315976264561151,-0.0397623228788724,0.691775315275029,-0.7417686389248733,5.1147446231303275e-05,0.7407511530478406
152,760.0,1,-0.8387829321231869,0.02667674313366815,-0.036237406367833486,0.7507731885325671,-0.6808274279985695,5.0056692135207806e-05,0.7115101574567019
153,765.0,1,-0.810344643827393,-0.07013933583330903,-0.032260062028660524,0.8044375314370084,-0.6150499186951838,4.861034744404792e-05,0.6828832288360567
154,770.0,1,-0.7713009483638695,-0.16657757750668703,-0.027594881047034284,0.852372248633094,-0.5448920490393099,4.6817789638543615e-05,0.6560238858532804
155,775.0,1,-0.7215833713990477,-0.26145547237542155,-0.022516744177877863,0.8942185070806048,-0.47084239868640965,4.4690830158610285e-05,0.6327689226609481
156,780.0,1,-0.660896053920892,-0.3531782999955003,-0.017130877384439223,0.929657483100232,-0.3934194254016442,4.224366686515427e-05,0.6157001977008385
157,785.0,1,-0.5892945071749205,-0.43998122742051504,-0.011549662511865101,0.9584129535221825,-0.313168458992825,3.949282166587902e-05,0.607484616763273
158,790.0,1,-0.5072725653866961,-0.5200403452069745,-0.005887616091220221,0.9802537078607052,-0.23065845208232316,3.645706265823028e-05,0.6103506490276898
